Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  <hasGender>  <Female>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.011152416,0.237410072,0.246268657,33,139,134,?a
?a  <hasGender>  <Female>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012504224,0.262411348,0.268115942,37,141,138,?a
?a  <hasSmokingHabit>  <CurrentSmoker>  ?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.011490368,0.2125,0.2125,34,160,160,?a
?a  <hasGender>  <Female>  ?a  <hasNoBio>  <NoEGFR>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.016559649,0.401639344,0.426086957,49,122,115,?a
?a  <hasBio>  <PDL1>  ?a  <hasGender>  <Female>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.011152416,0.589285714,0.611111111,33,56,54,?a
?a  <hasGender>  <Female>  ?a  <hasNoBio>  <NoROS1>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01182832,0.421686747,0.448717949,35,83,78,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01520784,0.346153846,0.348837209,45,130,129,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.010814464,0.41025641,0.41025641,32,78,78,?a
?a  <hasGender>  <Female>  ?a  <hasNoBio>  <NoALK>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.014869888,0.385964912,0.411214953,44,114,107,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>  ?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01182832,0.253623188,0.253623188,35,138,138,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01182832,0.368421053,0.368421053,35,95,95,?a
?a  <hasOncologicalTreatment>  <Radical>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.011152416,0.297297297,0.297297297,33,111,111,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.032781345,0.246192893,0.246192893,97,394,394,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>  ?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.015545792,0.231155779,0.231155779,46,199,199,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>  ?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.015545792,0.233502538,0.233502538,46,197,197,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.021290977,0.24609375,0.24609375,63,256,256,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasStage>  <IVB>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.014193984,0.385321101,0.385321101,42,109,109,?a
?a  <hasOncologicalTreatment>  <Radical>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.011490368,0.306306306,0.306306306,34,111,111,?a
?a  <hasOncologicalTreatment>  <Radical>  ?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.020615073,0.237354086,0.237354086,61,257,257,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.046299425,0.234188034,0.234188034,137,585,585,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.035822913,0.227467811,0.227467811,106,466,466,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.016559649,0.225806452,0.225806452,49,217,217,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasStage>  <IVA>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012504224,0.536231884,0.536231884,37,69,69,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.042581953,0.361031519,0.361031519,126,349,349,?a
?a  <hasNoBio>  <NoPDL1>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012166272,0.4,0.4,36,90,90,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.026698209,0.270547945,0.270547945,79,292,292,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012504224,0.243421053,0.243421053,37,152,152,?a
?a  <hasNoBio>  <NoBRAF>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01013856,0.306122449,0.306122449,30,98,98,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.039540385,0.370253165,0.370253165,117,316,316,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.043595809,0.277419355,0.277419355,129,465,465,?a
?a  <hasNoBio>  <NoROS1>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.029401825,0.390134529,0.390134529,87,223,223,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasStage>  <IVB>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01013856,0.4,0.4,30,75,75,?a
?a  <hasBio>  <PDL1>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.024670497,0.593495935,0.593495935,73,123,123,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.027374113,0.341772152,0.341772152,81,237,237,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.022304833,0.217105263,0.217105263,66,304,304,?a
?a  <hasBio>  <PDL1>  ?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.015883745,0.61038961,0.61038961,47,77,77,?a
?a  <hasNoBio>  <NoROS1>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01520784,0.346153846,0.371900826,45,130,121,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.024670497,0.361386139,0.361386139,73,202,202,?a
?a  <hasSmokingHabit>  <FormerSmoker>  ?a  <hasStage>  <IV>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01182832,0.257352941,0.269230769,35,136,130,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.023318689,0.257462687,0.257462687,69,268,268,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.044609665,0.217105263,0.217105263,132,608,608,?a
?a  <hasRace>  <Caucasian>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.035822913,0.178752108,0.184027778,106,593,576,?a
?a  <hasNoBio>  <NoROS1>  ?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.018925313,0.397163121,0.397163121,56,141,141,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.023318689,0.325471698,0.338235294,69,212,204,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.020615073,0.324468085,0.340782123,61,188,179,?a
?a  <hasBio>  <PDL1>  ?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012504224,0.528571429,0.560606061,37,70,66,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasStage>  <IV>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.013856032,0.325396825,0.344537815,41,126,119,?a
?a  <hasSmokingHabit>  <FormerSmoker>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.022642785,0.232638889,0.240143369,67,288,279,?a
?a  <hasRace>  <Caucasian>  ?a  <hasStage>  <IVB>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.013856032,0.362831858,0.376146789,41,113,109,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.018587361,0.359477124,0.369127517,55,153,149,?a
?a  <hasSmokingHabit>  <CurrentSmoker>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.019939169,0.289215686,0.295,59,204,200,?a
?a  <hasNoBio>  <NoROS1>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01351808,0.4,0.408163265,40,100,98,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.017911457,0.378571429,0.389705882,53,140,136,?a
?a  <hasStage>  <IV>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.014869888,0.293333333,0.303448276,44,150,145,?a
?a  <hasNoBio>  <NoROS1>  ?a  <hasStage>  <IVB>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01013856,0.447761194,0.46875,30,67,64,?a
?a  <hasNoBio>  <NoROS1>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.023656641,0.351758794,0.372340426,70,199,188,?a
?a  <hasBio>  <PDL1>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.016897601,0.531914894,0.555555556,50,94,90,?a
?a  <hasNoBio>  <NoALK>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.033119297,0.342657343,0.360294118,98,286,272,?a
?a  <hasBio>  <PDL1>  ?a  <hasNoBio>  <NoROS1>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.018587361,0.533980583,0.56122449,55,103,98,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.035822913,0.335443038,0.349834983,106,316,303,?a
?a  <hasBio>  <PDL1>  ?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.011490368,0.62962963,0.653846154,34,54,52,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasStage>  <IV>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012166272,0.367346939,0.395604396,36,98,91,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasStage>  <IVB>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01013856,0.5,0.517241379,30,60,58,?a
?a  <hasBio>  <PDL1>  ?a  <hasNoBio>  <NoALK>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.018925313,0.554455446,0.583333333,56,101,96,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasStage>  <IVB>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01013856,0.441176471,0.461538462,30,68,65,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasNoBio>  <NoROS1>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.028725921,0.358649789,0.377777778,85,237,225,?a
?a  <hasNoBio>  <NoBRAF>  ?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01013856,0.260869565,0.265486726,30,115,113,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.041230145,0.31202046,0.325333333,122,391,375,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.038188577,0.318309859,0.334319527,113,355,338,?a
?a  <hasBio>  <PDL1>  ?a  <hasNoBio>  <NoEGFR>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.020277121,0.571428571,0.6,60,105,100,?a
?a  <hasNoBio>  <NoPDL1>  ?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01182832,0.380434783,0.402298851,35,92,87,?a
?a  <hasNoBio>  <NoALK>  ?a  <hasNoBio>  <NoEGFR>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.038188577,0.339339339,0.356466877,113,333,317,?a
?a  <hasStage>  ?d  ?d  <subClassOf>  <III>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.019263265,0.141791045,0.14321608,57,402,398,?a
?a  <hasBio>  ?d  ?d  <subClassOf>  <Biomarker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.026698209,0.333333333,0.341991342,79,237,231,?a
?a  <hasStage>  ?d  ?d  <subClassOf>  <IV>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.027036161,0.392156863,0.418848168,80,204,191,?a
?a  <hasToxicity>  <Allergy>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.01520784,0.235602094,0.235602094,45,191,191,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.047989186,0.248686515,0.248686515,142,571,571,?a
?a  <hasToxicity>  <Analyticals>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.023994593,0.218461538,0.221183801,71,325,321,?a
?a  <hasToxicity>  <Analyticals>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.044271713,0.23992674,0.243947858,131,546,537,?a
?a  <hasGender>  <Male>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.033457249,0.211991435,0.216157205,99,467,458,?a
?a  <hasToxicity>  <Analyticals>  ?a  <hasToxicity>  <General>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.016221697,0.237623762,0.24,48,202,200,?a
?a  <hasToxicity>  <Analyticals>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.032781345,0.348920863,0.351449275,97,278,276,?a
?a  <hasToxicity>  <Analyticals>  ?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.029401825,0.265243902,0.266055046,87,328,327,?a
?a  <hasToxicity>  <Analyticals>  ?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.019263265,0.325714286,0.333333333,57,175,171,?a
?a  <hasStage>  <IIIB>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.017911457,0.557894737,0.563829787,53,95,94,?a
?a  <hasStage>  <IIIA>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.021290977,0.4375,0.440559441,63,144,143,?a
?a  <hasOncologicalTreatment>  <Radical>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.031091585,0.531791908,0.531791908,92,173,173,?a
?a  <hasRace>  <Caucasian>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.04697533,0.214506173,0.218210361,139,648,637,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.017235553,0.222707424,0.227678571,51,229,224,?a
?a  <hasSmokingHabit>  <CurrentSmoker>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.020615073,0.244,0.24497992,61,250,249,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.04697533,0.336561743,0.336561743,139,413,413,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasToxicity>  <Endocrinas>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.012842176,0.222222222,0.222222222,38,171,171,?a
?a  <hasRace>  <Caucasian>  ?a  <hasToxicity>  <Endocrinas>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.012842176,0.190954774,0.193877551,38,199,196,?a
?a  <hasToxicity>  <Gastrointestinal>  ?a  <hasToxicity>  <General>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.01013856,0.222222222,0.223880597,30,135,134,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasToxicity>  <Renal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.01013856,0.337078652,0.337078652,30,89,89,?a
?a  <hasToxicity>  <Asthensia>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.034471105,0.355400697,0.35915493,102,287,284,?a
?a  <hasToxicity>  <Allergy>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.013856032,0.398058252,0.398058252,41,103,103,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasToxicity>  <General>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.018249409,0.231759657,0.231759657,54,233,233,?a
?a  <hasSmokingHabit>  <CurrentSmoker>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.017911457,0.360544218,0.363013699,53,147,146,?a
?a  <hasStage>  <IIIB>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.014869888,0.602739726,0.611111111,44,73,72,?a
?a  <hasOncologicalTreatment>  <Radical>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.027374113,0.570422535,0.570422535,81,142,142,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasToxicity>  <Renal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.01013856,0.243902439,0.243902439,30,123,123,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.039878337,0.359756098,0.359756098,118,328,328,?a
?a  <hasOncologicalTreatment>  ?d  ?d  <subClassOf>  <oncologicalTreatment>   => ?a  <hasToxicity>  <Asthensia>,0.017722291,0.576033058,0.576033058,697,1210,1210,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.012842176,0.333333333,0.339285714,38,114,112,?a
?a  <hasToxicity>  <Cutaneas>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.023318689,0.396551724,0.396551724,69,174,174,?a
?a  <hasGender>  <Female>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.013856032,0.362831858,0.366071429,41,113,112,?a
?a  <hasToxicity>  <Pneumological>  ?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.015883745,0.415929204,0.419642857,47,113,112,?a
?a  <hasToxicity>  <Pneumological>  ?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.016221697,0.333333333,0.338028169,48,144,142,?a
?a  <hasStage>  <IIIA>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.017573505,0.464285714,0.464285714,52,112,112,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.039540385,0.44486692,0.44486692,117,263,263,?a
?a  <hasGender>  <Male>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.019263265,0.208029197,0.209558824,57,274,272,?a
?a  <hasSmokingHabit>  <CurrentSmoker>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.01013856,0.217391304,0.217391304,30,138,138,?a
?a  <hasToxicity>  <Gastrointestinal>  ?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.010476512,0.319587629,0.326315789,31,97,95,?a
?a  <hasStage>  <IIIA>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.013180128,0.402061856,0.40625,39,97,96,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasToxicity>  <Allergy>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.018587361,0.329341317,0.329341317,55,167,167,?a
?a  <hasRace>  <Caucasian>  ?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.038526529,0.331395349,0.335294118,114,344,340,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.026698209,0.226361032,0.226361032,79,349,349,?a
?a  <hasRace>  <Caucasian>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.026360257,0.206896552,0.209115282,78,377,373,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.026698209,0.32244898,0.32244898,79,245,245,?a
?a  <hasOncologicalTreatment>  <Radical>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.034471105,0.523076923,0.523076923,102,195,195,?a
?a  <hasSmokingHabit>  <FormerSmoker>  ?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.014193984,0.212121212,0.216494845,42,198,194,?a
?a  <hasToxicity>  <Allergy>  ?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.01182832,0.263157895,0.263157895,35,133,133,?a
?a  <hasGender>  <Male>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.037850625,0.225806452,0.230927835,112,496,485,?a
?a  <hasToxicity>  <Allergy>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.015883745,0.233830846,0.233830846,47,201,201,?a
?a  <hasToxicity>  <Asthensia>  ?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.031767489,0.273255814,0.274052478,94,344,343,?a
?a  <hasSmokingHabit>  <CurrentSmoker>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.023656641,0.258302583,0.262172285,70,271,267,?a
?a  <hasStage>  <IIIB>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.019263265,0.564356436,0.575757576,57,101,99,?a
?a  <hasToxicity>  <Asthensia>  ?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.021290977,0.372781065,0.379518072,63,169,166,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.052382562,0.336225597,0.336225597,155,461,461,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasToxicity>  <Allergy>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.018587361,0.259433962,0.259433962,55,212,212,?a
?a  <hasOncologicalTreatment>  <Immunotherapy>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.010476512,0.260504202,0.260504202,31,119,119,?a
?a  <hasNoBio>  <NoEGFR>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.019601217,0.220532319,0.229249012,58,263,253,?a
?a  <hasStage>  <IIIA>  ?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.023994593,0.43030303,0.432926829,71,165,164,?a
